source_url	parsed_url
https://search.yahoo.com/search?p=cat	https://images.search.yahoo.com/search/images?p=cat&th=106.9&tw=106.9&imgurl=https%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F1%2F1a%2FIndian_Cat_pic.jpg%2F1200px-Indian_Cat_pic.jpg&rurl=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FMorris_the_Cat&size=289KB&name=Morris+the+Cat+-+Wikipedia&oid=1&h=1200&w=1200&turl=http%3A%2F%2Fts3.mm.bing.net%2Fth%3Fid%3DOIP.x7qkAxdVTxWGTg5cw4sU_wHaHa%26pid%3D15.1%26rs%3D1%26c%3D1%26qlt%3D95%26w%3D106%26h%3D106&tt=Morris+the+Cat+-+Wikipedia&sigr=11c5m9foe&sigit=130omqcju&sigi=12u21uklv&sign=10qautnes&sigt=10qautnes
https://search.yahoo.com/search?p=cat	https://news.search.yahoo.com/search?p=cat&fr2=piv-web
https://search.yahoo.com/search?p=cat	https://search.yahoo.com/opensearch.xml
https://search.yahoo.com/search?p=cat	http://cc.bingj.com/cache.aspx?q=cat&d=4588276792821869&mkt=en-US&setlang=en-US&w=N5KgeY3n92Emgde7rAquLmfH0aKF5ayV
https://search.yahoo.com/search?p=cat	https://ca.news.yahoo.com/cat-hears-smells-frying-bacon-122002884.html
https://search.yahoo.com/search?p=cat	https://uk.news.yahoo.com/cat-helps-other-cat-friend-200000871.html
https://search.yahoo.com/search?p=cat	https://login.yahoo.com/config/login?.src=&.intl=us&.lang=en-US&.done=https://search.yahoo.com/search%3fp=cat
https://search.yahoo.com/search?p=cat	https://www.marketwatch.com/investing/stock/cat
https://search.yahoo.com/search?p=cat	https://r.search.yahoo.com/cbclk2/dWU9N0JBOUYyRkVEMzRENDUwMSZ1dD0xNTQ3OTQyMzYxNzgxJnVvPTgyNTMyMjI3MTQ2MDQwJmx0PTImZXM9aDAwT2QyQUdQUy5udWhDdg--/RV=2/RE=1547971162/RO=10/RU=https%3a%2f%2fwww.bing.com%2faclick%3fld%3de3Kif2t7QPD_9h1oYWbyPurDVUCUxZ4J2qGIfYfxS83GeSpF-JI2O3rGpb4FXgS4xZNyZCsLc-mvHua5UgtF2JilOvdqs_gWNNHlY44frL3dpla0I3-28tCE7d1-7Wf57-1M3WRwSfDgUpaI2SNPGqrJQQf4eih8-k-jXoXW-usgveTpGG%26u%3daHR0cHMlM2ElMmYlMmZ3d3cucGV0cy53b3JsZCUyZnZlcnRpY2FsJTNmc19wdCUzZHNvdXJjZTIlMjZzX2l0JTNkY29udGVudCUyNnR5cGUlM2Rjb250ZW50JTI2c19jaG4lM2QxJTI2c19nbCUzZFVTJTI2cSUzZGFuZCUyNTIwY2F0cyUyNTIwYnk%26rlid%3d2b588959b6281d95bc90d51a0ff1171a/RK=2/RS=0c9eemUfEewQGevZslHUjs060Vk-;_ylc=cnQDMQ--?p=cat
https://search.yahoo.com/search?p=cat	https://images.search.yahoo.com/search/images?p=cat&th=106.9&tw=150&imgurl=https%3A%2F%2Fblog.petmeds.com%2Fwp-content%2Fuploads%2F2017%2F10%2Fcurious_cat.jpg&rurl=https%3A%2F%2Fblog.petmeds.com%2F1800petmeds%2Fhow-do-cats-know-how-to-use-a-litter-box%2F&size=687KB&name=How+do+cats+know+how+to+use+a+litter+box%3F&oid=2&h=858&w=1200&turl=http%3A%2F%2Fts1.mm.bing.net%2Fth%3Fid%3DOIP.pcxF03QjseSv6kV8e0SkkAHaFS%26pid%3D15.1%26rs%3D1%26c%3D1%26qlt%3D95%26w%3D150%26h%3D106&tt=How+do+cats+know+how+to+use+a+litter+box%3F&sigr=12es0ob3m&sigit=1303gmvuu&sigi=11r2ev1ul&sign=1198lg548&sigt=1198lg548
https://search.yahoo.com/search?p=cat	https://search.yahoo.com/search?p=cat+memes&ei=UTF-8&fr2=rs-bottom%2Cp%3As%2Cv%3Aw%2Cm%3Aat-s
https://search.yahoo.com/search?p=cat	https://www.marketwatch.com/investing/stock/CAT
https://search.yahoo.com/search?p=cat	https://search.yahoo.com/search?p=cat&ei=UTF-8&fr2=time&age=1w&btf=w
https://search.yahoo.com/search?p=cat	https://www.yahoo.com/
https://search.yahoo.com/search?p=cat	https://finance.yahoo.com/quote/CAT
https://search.yahoo.com/search?p=cat	http://help.yahoo.com/l/us/yahoo/search/
https://search.yahoo.com/search?p=cat	https://finance.search.yahoo.com/search?p=cat&fr2=piv-web
https://search.yahoo.com/search?p=cat	https://search.yahoo.com/search?p=cat
https://search.yahoo.com/search?p=cat	https://sports.search.yahoo.com/search?p=cat&fr2=piv-web
https://search.yahoo.com/search?p=cat	http://cc.bingj.com/cache.aspx?q=cat&d=4685205574584029&mkt=en-US&setlang=en-US&w=Gocak5VVUBtSlceBg5wVRLoAQn1zQ6Tf
https://search.yahoo.com/search?p=cat	https://uk.news.yahoo.com/cat-unwraps-own-christmas-present-090000231.html
https://search.yahoo.com/search?p=cat	https://r.search.yahoo.com/cbclk2/dWU9N0JBOUYyRkVEMzRENDUwMSZ1dD0xNTQ3OTQyMzYxNzgxJnVvPTc2NzU5NjY3NDY5NDU5Jmx0PTImZXM9ZzF0UktxZ0dQUzl4VDRBLQ--/RV=2/RE=1547971162/RO=10/RU=https%3a%2f%2fwww.bing.com%2faclick%3fld%3de3wYHShmuuOnWPvIv8AQzyBTVUCUwGRwCtn8UBrUyMo7Qc9vgjFe6dZQtdUq9nvFw42GwuKdBC99Nmao7GZKUPMVR_W5OJS22K8TWDPPnAzZzHdFA2QL372cPsMwq265aYKWbwD1fA-JWjjd5am4UkMym11K1Yov0sojTi9JRJNQaSjIxX%26u%3daHR0cHMlM2ElMmYlMmZwYXJ0cy5jYXQuY29tJTJmZW4lMmZjYXRjb3JwJTJmZW5naW5lLXBhcnRzJTNmdXRtX2NvbnRlbnQlM2Rwc19hbl9lZHVjYXRpb25hbF9iaW5nYWR2ZXJ0aXNpbmclMjZ1dG1fc291cmNlJTNkYmluZyUyNnV0bV9tZWRpdW0lM2RjcGMlMjZ1dG1fY2FtcGFpZ24lM2RiaW5nX25hX3NpdGVsaW5rJTI2dXRtX3Rlcm0lM2RlbmdpbmVfcGFydHNfZm9yX2NhdF9faXZfbV9iX2NfNzY3NTk2Njc0Njk0NTlfa183Njc1OTY5MDAwODI2N193X2t3ZC03Njc1OTY5MDAwODI2NyUzYWxvYy05Nl9nXzM3OTIyMjI2OTFfbl9vX2VfODEwODkwNTc5NTU4M19oXzk2X2lpX19wXzJfYl9iYl9kX2NfdmlfXyUyNm1zY2xraWQlM2QlN2Jtc2Nsa2lkJTdk%26rlid%3d42a9afcb0a531259eca6f388b38a7bdd/RK=2/RS=Z1TSXu_AGckp6mzNUTTyN7TtIeo-;_ylc=cnQDMQ--?p=cat
https://search.yahoo.com/search?p=cat	https://s.yimg.com/pv/static/img/yahoo_purple_icon_ipad_152.png
https://search.yahoo.com/search?p=cat	https://www.cat.com/en_US.html
https://search.yahoo.com/search?p=cat	https://search.yahoo.com/search?p=cat&ei=UTF-8&fr2=time&age=1m&btf=m
https://search.yahoo.com/search?p=cat	https://parts.cat.com/en/catcorp/
https://search.yahoo.com/search?p=cat	https://r.search.yahoo.com/cbclk2/dWU9N0JBOUYyRkVEMzRENDUwMSZ1dD0xNTQ3OTQyMzYxNzgxJnVvPTcxNDY4MzM0MjMyMTE2Jmx0PTImZXM9V1FZVC5EMEdQUy5UZ21zZg--/RV=2/RE=1547971162/RO=10/RU=https%3a%2f%2fwww.bing.com%2faclick%3fld%3de3lqgwmeAr021kzM-5lyPnjDVUCUxiEZ1uWWi8uInLkCy4iCxIW65M9v51K4PFSxXifO6lW2G0wdT7A_S1WnhS-NR81O5iPjulEtyj9SahGcF04uf6chRAKyfwpy6xMssthaaWP9uGLDksWb2PWYdcr_CUCblH-n2yJ0QYhFoMNbXUAIHT%26u%3daHR0cHMlM2ElMmYlMmZiaW9kb2dyYWRhYmxlYmFncy5jb20lMmZpbmRleC5waHA%26rlid%3d640099d11f5e1108d4b1c592a6870906/RK=2/RS=8e9BmFN4s1QrH1IjImmy3GK4m8Y-;_ylc=cnQDMQ--?p=cat
https://search.yahoo.com/search?p=cat	https://recipes.search.yahoo.com/search?p=cat&fr2=piv-web
https://search.yahoo.com/search?p=cat	http://advertising.yahoo.com/article/search-advertising.html
https://search.yahoo.com/search?p=cat	https://s.yimg.com/pv/static/img/yahoo_purple_icon_ipad_76.png
https://search.yahoo.com/search?p=cat	https://images.search.yahoo.com/search/images?p=cat
https://search.yahoo.com/search?p=cat	https://answers.search.yahoo.com/search?p=cat&fr2=piv-web
https://search.yahoo.com/search?p=cat	javascript:void(0);
https://search.yahoo.com/search?p=dog	https://policies.yahoo.com/us/en/yahoo/terms/utos/
https://search.yahoo.com/search?p=dog	http://cc.bingj.com/cache.aspx?q=dog&d=4946129158472458&mkt=en-US&setlang=en-US&w=NRsjGGWmqLfJPR3MCjbaKt39NcJSEhfa
https://search.yahoo.com/search?p=dog	https://www.akc.org/dog-breeds/
https://search.yahoo.com/search?p=dog	https://search.yahoo.com/search?p=crane+federal+credit+union&ei=UTF-8&fr2=rs-bottom%2Cp%3As%2Cv%3Aw%2Cm%3Aat-s
https://search.yahoo.com/search?p=dog	https://www.tumblr.com/
https://search.yahoo.com/search?p=dog	https://www.dog.com/
https://search.yahoo.com/search?p=dog	https://search.yahoo.com/search?p=dog&b=11&pz=10&bct=0&pstart=5
https://search.yahoo.com/search?p=dog	http://cc.bingj.com/cache.aspx?q=dog&d=4811112534180724&mkt=en-US&setlang=en-US&w=HgUHvD5CgNOL1yU-tIiIurJl5_K5EmYp
https://search.yahoo.com/search?p=dog	https://search.yahoo.com/search?p=dog+breeds&ei=UTF-8&fr2=rs-bottom%2Cp%3As%2Cv%3Aw%2Cm%3Aat-s
https://search.yahoo.com/search?p=dog	https://news.yahoo.com/dog-disease-linked-certain-pet-024128265.html
https://search.yahoo.com/search?p=dog	https://search.yahoo.com/search?p=dog&b=41&pz=10&bct=0&pstart=17
https://search.yahoo.com/search?p=dog	https://search.yahoo.com/opensearch.xml
https://search.yahoo.com/search?p=dog	https://search.yahoo.com/search?p=boo+the+dog&ei=UTF-8&fr2=rs-bottom%2Cp%3As%2Cv%3Aw%2Cm%3Aat-s
https://search.yahoo.com/search?p=dog	https://r.search.yahoo.com/cbclk2/dWU9NTJCRDgxRDE1NjU5NDM4NCZ1dD0xNTQ3OTQyMzYxODIxJnVvPTc3MDM0NjA4MzgxNDYyJmx0PTImZXM9SEszVWR1NEdQUzl4MFZWUQ--/RV=2/RE=1547971162/RO=10/RU=https%3a%2f%2fwww.bing.com%2faclick%3fld%3dd3--InNa4gFbAEAS8Ufmo3YzVUCUxcWs25HXmLzAYO_H9UCmUNkVbtzRfTRiUSPda2yGzI2R8QnjTGQwtU2e_x5a5TbVCK3L4dku8l2Mx5H_9rcR2vZKV5DKkXf4JrdvOkkGOtVP7ejS171zeIvlPySGA_O754IWSNLTcYZZD_ZkEITg5A%26u%3dhttps%253a%252f%252fwww.officialservicedogregistry.com%252fregister-your-dog%252fregister-your-emotional-support-dog%252f%26rlid%3d0f91f2660f641a64b7c7ae25b6be0c5b/RK=2/RS=gdipjKHT.KQN5NCIl1qZe4azdIk-;_ylc=cnQDMQ--?p=dog
https://search.yahoo.com/search?p=dog	https://video.search.yahoo.com/search/video?p=dog&turl=http%3A%2F%2Fts4.mm.bing.net%2Fth%3Fid%3DOVP.YmRUpBI3uye2PA9OTayxfAEsDh%26pid%3D15.1%26w%3D144%26h%3D77%26c%3D7&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DNXrHz2ScjaI&tit=Screaming+from+pain%2C+puppy+rescued+with+torn+ear&w=144&h=78&pos=4&vid=f1a8cff1b8c7953aca7963ca8e02ec7a&sigr=11bh14o53&sigt=11gou6ccb&sigi=12jdd66in
https://search.yahoo.com/search?p=dog	https://search.yahoo.com/local/s?p=dog&fr2=piv-web
https://search.yahoo.com/search?p=dog	http://cc.bingj.com/cache.aspx?q=dog&d=4696531395872619&mkt=en-US&setlang=en-US&w=8ZMwlbnyb_JXvEz9Ys-c0XaZ9Q1xRCVV
https://search.yahoo.com/search?p=dog	https://images.search.yahoo.com/search/images?p=dog&fr2=piv-web
https://search.yahoo.com/search?p=dog	https://search.yahoo.com/search?p=dog&ei=UTF-8&fr2=time&age=1w&btf=w
https://search.yahoo.com/search?p=dog	https://www.yahoo.com/
https://search.yahoo.com/search?p=dog	https://recipes.search.yahoo.com/search?p=dog&fr2=piv-web
https://search.yahoo.com/search?p=dog	http://help.yahoo.com/l/us/yahoo/search/
https://search.yahoo.com/search?p=dog	https://r.search.yahoo.com/cbclk2/dWU9NTJCRDgxRDE1NjU5NDM4NCZ1dD0xNTQ3OTQyMzYxODIxJnVvPTc4NzUyNTY0NTEzMDE5Jmx0PTImZXM9bnF4Si5CWUdQU19OakszYQ--/RV=2/RE=1547971162/RO=10/RU=https%3a%2f%2fwww.bing.com%2faclick%3fld%3dd3hdpcBF2yjT9pV9j-9AmmEDVUCUwcnJzfzCDj9mrSO83BX9aLo7Bml0LtV7wVLgLCCviRxFZWetfpTVflaZUoLgQoZjb3KK2H82_0-Nx9FFFJgRNm0Nx5i4XQXDPUG3QSnkSQaoCNk5TB01Eu1K3etzpZCs2NTgoUfQdvVqYQNYer-58m%26u%3dhttps%253a%252f%252fwww.allmodern.com%252fAll-Dog-Beds-l915-c1785581-O7208%257eMat.html%253frefid%253dMX78752564513019.dog%252520beds%257ebb%2526pcrid%253d78752564513019%2526device%253dc%2526targetid%253dkwd-78752640805281%253aloc-96%2526channel%253dBingIntent%2526utm_source%253dbing%2526utm_medium%253dcpc%2526utm_campaign%253d81_S_12_G_915%257eAM.S.US.G.Dog%252520Beds%252520%252526%252520Mats%252520%28RLSA%29%2526utm_term%253ddog%252520beds%2526utm_content%253d78752564513019%2526msclkid%253d%257bmsclkid%257d%26rlid%3dd2dc1e142bdd15cb693c42579207097a/RK=2/RS=HKGB2GBgugXKoGGfhmo6rAoEKzY-;_ylc=cnQDMQ--?p=dog
https://search.yahoo.com/search?p=dog	https://search.yahoo.com/search?p=dog+breeds&ei=UTF-8&fr2=rs-top
https://search.yahoo.com/search?p=dog	https://s.yimg.com/pv/static/img/yahoo_purple_icon_ipad_152.png
https://search.yahoo.com/search?p=dog	https://search.yahoo.com/search?p=dog+wikipedia&ei=UTF-8&fr2=rs-bottom%2Cp%3As%2Cv%3Aw%2Cm%3Aat-s
https://search.yahoo.com/search?p=dog	http://advertising.yahoo.com/article/search-advertising.html
https://search.yahoo.com/search?p=dog	https://www.yahoo.com/lifestyle/dog-walkers-basically-texting-novels-175422064.html
https://search.yahoo.com/search?p=dog	https://s.yimg.com/pv/static/img/yahoo_purple_icon_ipad_76.png
https://search.yahoo.com/search?p=dog	https://login.yahoo.com/config/login?.src=&.intl=us&.lang=en-US&.done=https://search.yahoo.com/search%3fp=dog
https://search.yahoo.com/search?p=dog	http://cc.bingj.com/cache.aspx?q=dog&d=4876048130967924&mkt=en-US&setlang=en-US&w=v9Gsm8EeCrmpXuLN-JgiQGW--TiyWKj0
https://search.yahoo.com/search?p=dog	http://cc.bingj.com/cache.aspx?q=dog&d=4550790296373317&mkt=en-US&setlang=en-US&w=zTi9ufHh40YVddVB-5laPChh9uqDkXG0
https://search.yahoo.com/search?p=dog	https://search.yahoo.com/search?p=dog&ei=UTF-8&fr2=time&age=1m&btf=m
https://search.yahoo.com/search?p=dog	https://video.search.yahoo.com/search/video?p=dog&turl=http%3A%2F%2Fts1.mm.bing.net%2Fth%3Fid%3DOVP.k2fXq_DSIetuis9yVLUx6AHgFo%26pid%3D15.1%26w%3D144%26h%3D77%26c%3D7&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DNwlwJjelgzs&tit=Get+ready+for+LAUGHING+SUPER+HARD+-+Best+FUNNY+DOG+videos&w=144&h=78&pos=2&vid=cd6aadb2fac5c0c482504a8f8f8a0a08&sigr=11bmduofa&sigt=11poeoabj&sigi=12jcf70jn
https://search.yahoo.com/search?p=dog	https://news.search.yahoo.com/search?p=dog&fr2=piv-web
https://search.yahoo.com/search?p=dog	https://images.search.yahoo.com/search/images?p=dog&th=97.3&tw=146&imgurl=https%3A%2F%2Fcdn-anythingpawsable.s3.amazonaws.com%2Fuploads%2F2018%2F04%2Fadorable-animal-blur-686094.jpg&rurl=https%3A%2F%2Fwww.anythingpawsable.com%2Ftop-5-service-dog-breeds-assistance-dogs%2F&size=1244KB&name=Top+5+Service+Dog+Breeds+%7C+AnythingPawsable&oid=2&h=3072&w=4608&turl=http%3A%2F%2Fts3.mm.bing.net%2Fth%3Fid%3DOIP.Anov1e6RweQNE_9KnDEDTwHaE8%26pid%3D15.1%26rs%3D1%26c%3D1%26qlt%3D95%26w%3D146%26h%3D97&tt=Top+5+Service+Dog+Breeds+%7C+AnythingPawsable&sigr=12aok2j0e&sigit=12v766i97&sigi=12l5eu87c&sign=11bpgar3q&sigt=11bpgar3q
https://search.yahoo.com/search?p=dog	https://r.search.yahoo.com/cbclk2/dWU9NTJCRDgxRDE1NjU5NDM4NCZ1dD0xNTQ3OTQyMzYxODIxJnVvPTc3MDM0NjA4MzgxNDYyJmx0PTImZXM9SEszVWR1NEdQUzl4MFZWUQ--/RV=2/RE=1547971162/RO=10/RU=https%3a%2f%2fwww.bing.com%2faclick%3fld%3dd39grdjTlGUIRZz0XB7WIMJjVUCUw0lVEAD7tCCL32rPR-s4FWmtsp2a46LFVLA3goZ6c-A932TuCo-YM7beSLWQl-ykF5I-W0YhPMmfqQK4ejUl6RrR3crjosuUYRY-PsyZLalrrX75D_jvuUuMHoBbHaCYi5GLn4RjfM0LZTJc1IHpPI%26u%3dhttps%253a%252f%252fwww.officialservicedogregistry.com%252fregister-your-dog%252ftherapy-dogs%252f%26rlid%3d38bb638985ce125ca1873fca3c143394/RK=2/RS=RKVKgmbWc76KEzxJEPdzs2VkgIw-;_ylc=cnQDMQ--?p=dog
https://search.yahoo.com/search?p=dog	https://search.yahoo.com/search?p=cat&ei=UTF-8&fr2=rs-bottom%2Cp%3As%2Cv%3Aw%2Cm%3Aat-s
https://search.yahoo.com/search?p=dog	javascript:void(0);
https://search.yahoo.com/search?p=dog	https://sports.yahoo.com/
https://search.yahoo.com/search?p=dog	https://video.search.yahoo.com/search/video?p=dog&turl=http%3A%2F%2Fts2.mm.bing.net%2Fth%3Fid%3DOVP.MiAtZMK5o4xzC4_xgTyUlwEsDh%26pid%3D15.1%26w%3D144%26h%3D77%26c%3D7&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DoDJCbI3wa6A&tit=Rescue+of+Scared+Injured+Homeless+Dog+with+Embedded+Collar+on+a+Very+Cold+Day&w=144&h=78&pos=3&vid=321599742ea736a4dccb9d500084651b&sigr=11bo0oh0e&sigt=12divbj9k&sigi=12ja70ooe
https://search.yahoo.com/search?p=dog	https://search.yahoo.com/search?p=dog&b=31&pz=10&bct=0&pstart=13
https://search.yahoo.com/search?p=dog	https://uk.news.yahoo.com/dog-breastfeeds-calf-mother-cow-130000400.html
https://search.yahoo.com/search?p=dog	https://www.chewy.com/b/dog-288
https://search.yahoo.com/search?p=cat	https://sports.yahoo.com/
https://search.yahoo.com/search?p=cat	https://search.yahoo.com/local/s?p=cat&fr2=piv-web
https://search.yahoo.com/search?p=cat	https://search.yahoo.com/search?p=cat+stevens&ei=UTF-8&fr2=rs-top
https://search.yahoo.com/search?p=cat	https://video.search.yahoo.com/search/video?p=cat&turl=http%3A%2F%2Fts3.mm.bing.net%2Fth%3Fid%3DOVP.4nbo37tijA1SVyZlneNQ2QEsDh%26pid%3D15.1%26w%3D144%26h%3D77%26c%3D7&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DyWjRvhfjpI8&tit=Talking+Kitty+Cat+-+World%26%2339%3Bs+Most+Spoiled+Cat&w=144&h=78&pos=3&vid=7866fa547ac0e6317713b5e8cfdbfe0c&sigr=11bm8q78o&sigt=11g5ko2jq&sigi=12jamproa
https://search.yahoo.com/search?p=cat	http://cc.bingj.com/cache.aspx?q=cat&d=4887485590406850&mkt=en-US&setlang=en-US&w=l6nPxHyfIcSukkQXjCHDcvPMB8Z34QuA
https://search.yahoo.com/search?p=cat	https://r.search.yahoo.com/cbclk2/dWU9N0JBOUYyRkVEMzRENDUwMSZ1dD0xNTQ3OTQyMzYxNzgxJnVvPTc2NzU5NjY3NDY5NDU5Jmx0PTImZXM9ZzF0UktxZ0dQUzl4VDRBLQ--/RV=2/RE=1547971162/RO=10/RU=https%3a%2f%2fwww.bing.com%2faclick%3fld%3de3ZBUABGcniNG7nZqJoI7dyjVUCUz8DrBkRql2DrnaRqdK4qsLTsuQvGueXJto83piqu1uEV2_SVu3Ge4twbU__CsEuX0VHpkvZ_8P1dh7ru-lbVdVJaiTx8C0yJOaW81poAeaz3GXEbT2o4s-hwbZBx9nX1orct2ouz7OWI8549OkU6VD%26u%3daHR0cHMlM2ElMmYlMmZwYXJ0cy5jYXQuY29tJTJmZW4lMmZjYXRjb3JwJTJmZmlsdGVycyUzZnV0bV9jb250ZW50JTNkcHNfYW5fZWR1Y2F0aW9uYWxfYmluZ2FkdmVydGlzaW5nJTI2dXRtX3NvdXJjZSUzZGJpbmclMjZ1dG1fbWVkaXVtJTNkY3BjJTI2dXRtX2NhbXBhaWduJTNkYmluZ19uYV9zaXRlbGlua3MlMjZ1dG1fdGVybSUzZGdlbnVpbmVfY2F0X2ZpbHRlcnNfX2l2X21fYl9jXzc2NzU5NjY3NDY5NDU5X2tfNzY3NTk2OTAwMDgyNjdfd19rd2QtNzY3NTk2OTAwMDgyNjclM2Fsb2MtOTZfZ18zNzkyMjIyNjkxX25fb19lXzgxMDg5MDU3OTU1ODJfaF85Nl9paV9fcF8yX2JfYmJfZF9jX3ZpX18lMjZtc2Nsa2lkJTNkJTdibXNjbGtpZCU3ZA%26rlid%3d38b0343b8c571fcabe4b6878358e6298/RK=2/RS=.fBiSkP_q7kOOAl3yWCmv2_O8As-;_ylc=cnQDMQ--?p=cat
https://search.yahoo.com/search?p=cat	https://www.thefreedictionary.com/cat
